,x,y,thickness,snr,mask,smb,surf_temp,base_temp,vx,vy,v,snr_pred,snr_pred_std
1750,-699500,1091000,835.3634,,2,127.957405,259.42014978113775,263.5250549316406,2.240227,-4.359112,4.9010687,42.598848304144866,14.650297940941854
3603,1885500,601000,1064.2782,,2,65.961174,261.12618115293424,272.3088073730469,16.682472,28.787958,33.27238,55.47388213985698,14.396780117729929
2772,1840500,-729000,3431.5588,,2,86.7215,244.31111234765876,270.12005615234375,6.0949383,-3.0109043,6.7980747,87.74297941021014,14.207329313866312
3111,1860500,561000,1460.6659,,2,68.5578,259.2126824938877,271.7376403808594,-1.820441,19.463533,19.548481,60.46033925578692,14.232373235322362
3292,915500,1946000,303.8465,,3,325.6536,,271.20001220703125,28.184309,304.75574,306.0562,,
9774,-804500,-89000,2997.0752,,2,173.58516,250.80359982791236,271.20391845703125,0.26583907,6.5884285,6.5937896,82.73178770026936,14.218955852321404
1232,-734500,471000,1092.4337,,3,99.19748,260.37148018897904,271.3392639160156,-131.70044,210.29076,248.12741,35.969313158182075,14.61514453110098
5349,-1309500,-614000,2281.514,,2,404.59354,256.9168402035997,271.3568420410156,-6.9300113,7.460567,10.182589,71.64301607191732,14.39237322260823
5032,495500,-1099000,1103.5945,47.975,2,15.422405,251.07106231949766,265.8186340332031,-12.257572,-9.762043,15.669893,48.957376564266575,14.242294128129684
5548,1480500,-109000,2994.9167,,2,35.620434,236.6989208215905,265.1289978027344,0.2526827,1.2858381,1.3104305,77.42460215623694,14.602448690362232
8696,1640500,911000,844.3547,,2,69.64704,252.00280719611723,259.8725891113281,4.7706103,-6.5959144,8.14032,37.97947397046572,14.630979935496368
9832,700500,1896000,1007.8968,,2,316.26007,257.57531660111766,272.2974548339844,53.446,59.455376,79.946335,52.732395114701404,14.44006546284248
510,-269500,66000,2218.4102,,2,71.80288,244.44790141354338,271.1769714355469,-6.370447,1.3155742,6.50487,71.93015937842229,14.446533604495292
5466,1980500,1301000,1196.8236,,2,138.6624,257.8377472368554,266.1173400878906,2.5594203,5.8071084,6.3461123,51.12153015818323,14.265545844725313
67,-1794500,-204000,847.10406,,2,1466.9971,261.27473702018517,272.2524108886719,-125.83717,-3.180585,125.877365,46.31794368791961,14.637318024979054
9693,190500,-69000,3063.05,,2,50.9085,239.6762312199612,270.54022216796875,2.1035137,-0.39524093,2.1403236,84.40909191498612,14.51066977558333
5756,2050500,-1464000,1152.0259,,2,956.10535,263.5451877917352,271.18267822265625,1.5277935,-4.7955265,5.033014,53.612316400984625,14.401343462335614
3383,1370500,-784000,3708.7139,,2,30.276056,237.17075407375046,269.9427795410156,-0.26843992,-0.117042996,0.29284647,94.00107948172982,14.591408396254655
7100,1060500,1626000,1630.9243,,2,96.15594,253.73392043398425,272.007080078125,13.223589,38.589397,40.792217,62.84371115849233,14.553328849233328
1572,-219500,771000,1834.385,,2,50.021374,250.07591605919978,264.87225341796875,-3.2319098,0.8868438,3.3513777,58.835036987883186,14.640637489570508
2782,340500,-279000,3160.373,,2,35.142628,241.20506385275954,270.44720458984375,-1.9618914,-2.4274926,3.1211758,85.30673169687591,14.361229330851668
678,785500,-1879000,2512.4597,,2,151.90605,253.97428831716002,271.2763671875,4.329958,-1.6230339,4.624151,76.28727931733087,14.40667977458888
4372,1420500,-229000,3053.5225,,2,30.544357,236.18110414830136,267.5552062988281,0.15383591,-2.4680033,2.472793,79.86736656537742,14.670600281014291
3713,-319500,1801000,1208.5199,,2,228.68254,259.9486494714569,272.08837890625,-6.129901,2.4798167,6.612501,57.46533115476086,14.330859349057777
4412,-1569500,-174000,1824.16,,2,478.65326,259.2745356142283,271.5490417480469,-331.47763,-754.71967,824.3053,61.62466276147107,14.205030636346343
6064,1505500,1311000,2478.737,,2,69.42726,245.3714404944732,270.18743896484375,-0.13830264,3.175137,3.1781478,74.76593469878081,14.59660519186974
2597,980500,-1954000,2092.0945,,2,318.6772,259.0395866527345,271.3992919921875,42.285046,-50.008064,65.489174,67.7479486466428,14.560797896553348
2919,-649500,-464000,1913.4073,,2,89.0412,261.29703201224794,271.4295654296875,40.789642,-36.651413,54.837223,65.86212704695569,14.312463386776386
1214,-734500,561000,973.8244,,3,86.106766,260.0514541570793,271.3472900390625,-53.903477,91.576126,106.26275,35.073040214488785,14.17026143454669
1866,810500,1861000,839.40594,,2,69.08125,264.9219809647728,266.5101623535156,2.6163135,9.278714,9.64052,45.66866441558237,14.677904346995403
2609,-659500,796000,822.1675,,3,93.06773,261.282246097373,271.20001220703125,-218.4267,184.21806,285.73856,31.86605826097308,14.43050442276366
5788,990500,-809000,2854.5027,,2,19.304815,240.38409721795142,270.7371826171875,-7.4093256,-4.10772,8.471805,80.11900967602492,14.63618114347036
8024,105500,1011000,2409.7266,,2,40.16383,246.1300121167726,271.09613037109375,-5.276584,-0.73198634,5.327114,74.60672099115774,14.705335674348293
9528,1180500,991000,3155.73,,2,43.757374,240.2551268819221,270.37347412109375,2.3170571,-1.4988635,2.7595916,85.34201232298673,14.541300449682186
4490,-1074500,-854000,2329.3147,,2,148.29482,252.313466234824,271.7555847167969,9.967106,8.628448,13.183069,73.20921502913284,14.261602197036067
4478,1425500,741000,1310.9058,,2,80.203186,251.97842204854868,270.3725280761719,8.891761,-0.7605446,8.924228,56.75510799594723,14.390387911831
8321,2125500,786000,531.0983,,3,328.15524,265.7430250127478,271.0377502441406,100.57013,-51.746,113.10172,27.602460067352,14.576312006934074
9150,160500,1381000,2431.1318,,2,45.558582,242.99477885795795,270.970703125,-5.889079,-0.7948401,5.9424763,74.44714780915832,14.426546253787112
3366,-629500,-699000,1216.3352,,2,77.29777,262.0225482122877,271.8706359863281,63.731846,-90.0851,110.34978,56.24561554450698,14.415697500080235
9851,195500,-359000,2597.6921,,2,36.44835,242.17094793597502,270.8877258300781,-0.4759823,-7.363401,7.378769,76.97008352107986,14.229657352282805
600,735500,631000,3499.271,,2,24.788996,237.56416778785646,270.04107666015625,0.07692569,0.9547286,0.9578227,90.28087788526099,14.199037403030154
1026,760500,1841000,956.00085,,2,157.69162,256.9171498562672,268.24200439453125,3.892279,2.0991728,4.4222574,49.89063963239087,14.77458095667791
3804,-599500,821000,702.76434,,3,87.19786,260.88302639575056,272.0658264160156,-274.46103,317.0728,419.36145,30.3942611653948,14.588289572823648
82,1705500,-279000,3413.8608,111.23,2,57.501446,238.99491793821235,268.7432556152344,0.33296558,-0.95924413,1.0153893,87.35402004284076,14.127547525934606
6423,-1469500,-229000,1894.5002,,2,653.8406,260.09302502769617,271.61614990234375,-8.083539,14.951505,16.996798,65.04317186486801,14.459063060274858
4954,1450500,-1139000,4055.8972,67.15899999999999,2,54.40913,240.07893451409342,269.7312927246094,0.33774036,-0.83512026,0.90082985,97.92786532251064,14.449705119992442
2314,1820500,1526000,596.767,,2,277.27518,260.2426646792835,262.19586181640625,-2.6388514,-0.18164827,2.645096,37.59279889877819,14.614666950290369
6461,1525500,-1674000,2891.089,,2,163.32524,249.96389920671822,270.4036560058594,-2.3674743,-0.12360554,2.370699,81.29711552827948,14.43541310763786
4082,2405500,-779000,1856.6792,,2,481.407,263.44315723778175,271.7080078125,101.27906,-14.738833,102.345894,63.64282470640539,14.234440267123391
460,-2474500,1291000,2.2656207,,2,1843.0265,267.40957566943325,269.0761413574219,-2.3213985,3.226545,3.9748566,31.615535811439063,14.666754528987033
7397,75500,1806000,1528.0436,,2,91.14011,248.87732799633,271.7771301269531,-18.304714,5.004983,18.97663,61.238066517758995,14.212294324636012
2158,1810500,-1659000,1638.5963,,2,300.3571,256.0071580795421,267.9292907714844,1.0755666,1.8910116,2.1754928,59.025083871591875,14.334714332883024
